;mz;intensity;RT.x;peak ID;HS IDs;series level;to ID;m/z increment;RT increment;HS cluster;Row Names;blank_1-A,1_01_11442'' [1];QC_1-A,2_01_11452'' [1];QC_1-A,2_01_11458'' [1];QC_1-A,2_01_11464'' [1];daf-2_001_1-C,1_01_11459'' [1];daf-2_002_1-C,2_01_11456'' [1];daf-2_003_1-C,3_01_11460'' [1];daf-2_004_1-C,4_01_11454'' [1];daf-2_005_1-C,5_01_11463'' [1];N2_001_1-B,1_01_11453'' [1];N2_002_1-B,2_01_11462'' [1];N2_003_1-B,3_01_11461'' [1];N2_004_1-B,4_01_11455'' [1];N2_005_1-B,5_01_11457'' [1];Row;Group;Size;Mass;Charge;RT.y;Base Peak;Adduct;TandemLCpart
17;253.2521635;999;39.13073545;2981;95;2;350;14.0161371;0.63;95;Cluster_12532;NaN;396.87054;668.60803;383.56757;NaN;NaN;NaN;NaN;112.41813;632.48375999999996;1024.7224000000001;470.28793000000002;56.488770000000002;1319.4961000000001;Cluster_12532;2295;2;252.2448875;1;39.13073545;10764;M+H;RP
18;255.2311471;999;37.28677177;94;288/303;1/2;493/1640;14.0162066/26.0159744;0.7298/0.396;288/303;Cluster_01348;NaN;2866.0225;3783.8877;2837.3652;1929.2233000000001;3052.971;3322.5983999999999;2559.0237000000002;2023.0604000000001;4894.4643999999998;5671.1352999999999;4208.2812000000004;4254.3230000000003;7786.1225999999997;Cluster_01348;2309;2;254.2238711;1;37.28677177;10849;M+H;RP
19;256.2263305;999;32.40663045;533;98/214;1/1;369/819;14.0163576/26.0163085;0.9852/0.8681;98/214;Cluster_01350;NaN;27694.486;27430.895;27699.955;13667.378000000001;18136.508000000002;18854.758000000002;15834.912;16397.115000000002;25557.41;17977.752;20713.273000000001;17484.576000000001;40315.230000000003;Cluster_01350;87;3;255.2190545;1;32.40663045;10884;M+H;RP
20;257.2470511;999;38.46204431;286;87;1;503;14.0160729;0.6298;87;Cluster_01358;4522.165;17344.342;22145.027;17045.375;5276.4043000000001;7253.9975999999997;7981.4066999999995;7515.5775999999996;10539.769;9955.0990000000002;14135.924999999999;8861.6560000000009;10876.919;14933.161;Cluster_01358;2318;2;256.2397751;1;38.46204431;10929;M+H;RP
21;258.2430768;999;33.41639445;414;80/99;1/2;2712/2712;14.0157881/14.0163194;0.94/0.9382;80/99;Cluster_01366;NaN;22412.348;28416.479;22243.385;9334.3880000000008;22151.151999999998;18075.312000000002;15547.887000000001;16843.498;37860.050000000003;19961.157999999999;15792.715;57217.311999999998;68901.05;Cluster_01366;90;3;257.2358008;1;33.41639445;10980;M+H;RP
22;258.2434236;999;33.62180282;150;64;1;2712;14.0156147;0.8373;64;Cluster_01367;NaN;8051.635;11276.625;7894.2153;636.69745;1734.4689000000001;1504.9493;1561.6198999999999;1955.3646000000001;24648.86;8410.4680000000008;6069.6875;NaN;34893.184000000001;Cluster_01367;91;2;257.2361476;1;33.62180282;10981;M+H;RP
23;263.2362512;999;37.7097717;1829;110/206;2/3;1640;18.0105087/26.0153387;3e-04/0.3897;110/206;Cluster_01403;NaN;6762.398;7753.8965;6713.3184;2624.5041999999999;3422.1306;4836.3119999999999;3900.9421000000002;5351.63;3098.6565000000001;5015.8019999999997;3871.308;4117.4470000000001;5716.9775;Cluster_01403;2376;2;262.2289752;1;37.7097717;11334;M+H;RP
24;265.2526698;999;38.67103369;57;111/114;2/2;66/230;18.0111058/20.0265982;7e-04/1.0062;111/114;Cluster_01415;973.78107;6995.388;9228.586;6767.1978;2579.1965;2638.1127999999999;4897.4336000000003;3156.3328000000001;5803.9009999999998;8270.259;13085.368;10240.885;13432.24;17730.557000000001;Cluster_01415;2390;2;264.2453938;1;38.67103369;11406;M+H;RP
25;266.2094213;999;32.51665322;252;101/296;1/1;2878/284;14.0169361/26.0154869;0.373/0.819;101/296;Cluster_01419;NaN;2227.82;2216.0522;2227.4993;1222.7947999999999;1940.4458;1598.7806;1617.335;1766.1348;6694.5219999999999;2805.5286000000001;2864.2710000000002;3025.7334000000001;10009.6;Cluster_01419;81;2;243.2202003;1;32.51665322;11448;M+Na;RP
26;266.2477255;999;30.93765328;1585;92;2;223;14.0163243;0.8491;92;Cluster_01420;NaN;2657.7935;2620.0454;2658.4526;1405.7561000000001;1763.7935;1980.3581999999999;1787.2252000000001;1956.4456;1659.566;1707.5311999999999;2399.1970000000001;1394.4626000000001;3290.7075;Cluster_01420;2394;2;265.2404495;1;30.93765328;11454;M+H;RP
27;267.268598;999;39.72227633;350;95;3;0;14.0161371;0.63;95;Cluster_01435;NaN;1146.5604;1669.3926;1159.2612;813.18550000000005;816.42150000000004;972.78326000000004;768.93115;1019.81134;1088.6757;1412.0504000000001;920.00665000000004;1299.0938000000001;2026.0685000000001;Cluster_01435;2406;2;266.261322;1;39.72227633;11524;M+H;RP
28;268.2265809;999;32.47242775;810;8/317;1/1;2878/819;11.9991679/14.0160072;0.4523/0.8385;8/317;Cluster_01441;NaN;1970.6857;2148.688;1974.5073;1216.7157;1692.0744999999999;1582.7059999999999;1595.3072999999999;1529.0890999999999;2561.1516000000001;1571.7461000000001;1671.1025;1373.1551999999999;3847.8506000000002;Cluster_01441;2413;2;267.2193049;1;32.47242775;11556;M+H;RP
29;268.2267372;999;32.19619706;181;215/316;2/1;30/819;26.0161034/14.0160072;1.05/0.9013;215/316;Cluster_01440;NaN;1152.4248;1106.2823;1152.3346;1044.1383000000001;1269.3616;1431.9628;1196.4313999999999;1295.5175999999999;4370.2187999999996;2263.6876999999999;3197.5001999999999;1808.5528999999999;5597.4043000000001;Cluster_01440;2414;2;267.2194612;1;32.19619706;11555;M+H;RP
30;269.2469488;999;38.00171375;493;288;2;66;14.0162066;0.7298;288;Cluster_12554;NaN;550.0142;745.42255;521.0838;118.09766999999999;NaN;251.31549000000001;221.62952000000001;335.34224999999998;855.14800000000002;1127.0099;743.05615;109.81023999999999;1293.9093;Cluster_12554;2425;2;268.2396728;1;38.00171375;11614;M+H;RP
31;269.2471936;999;38.18572504;68;96;1;66;14.0160264;0.5482;96;Cluster_01448;NaN;3660.9841;5814.2827;3518.136;645.48883000000001;967.68910000000005;1885.7715000000001;1587.5405000000001;1640.2909;3899.2163;6027.8545000000004;3709.48;3772.25;8175.4272000000001;Cluster_01448;2427;2;268.2399176;1;38.18572504;11615;M+H;RP
32;270.2429002;999;33.37618863;369;98/181/302;2/1/2;396/84/2150;14.0163576/24.0000957/26.0161217;0.9852/0.2052/0.8159;98/181/302;Cluster_01454;NaN;80674.65;94447.74;80663.18;52670.707000000002;100692.82;79471.03;74526.87;76854.77;206338.88;132583.07999999999;118471.125;81142;322657.65999999997;Cluster_01454;99;3;269.2356242;1;33.37618863;11671;M+H;RP
33;271.2629686;999;39.13111551;503;87;2;230;14.0160729;0.6298;87;Cluster_01467;NaN;628.5782;1170.056;667.382;NaN;NaN;263.83026000000001;152.52623;215.23979;1722.6953000000001;1766.0977;741.06020000000001;83.335800000000006;3080.3096;Cluster_01467;2446;2;270.2556926;1;39.13111551;11754;M+H;RP
34;272.2591384;999;34.394081;2712;64/80/99/204;2/2/3/1;232/232/98;14.0156147/14.0157881/14.0163194/26.0153989;0.8373/0.94/0.9382/0.6687;64/80/99/204;Cluster_01478;NaN;565.67267;726.73645;576.1316;NaN;NaN;NaN;NaN;NaN;384.30664000000002;332.15066999999999;10.193398999999999;4455.7169999999996;6.9162650000000001;Cluster_01478;2457;2;271.2518624;1;34.394081;11813;M+H;RP
35;272.2592312;999;34.59165791;244;200;1;98;26.0153525;0.5699;200;Cluster_01479;NaN;20739.227;32211.545;19991.545;1706.5658000000001;10566.52;6529.46;4918.7734;4174.3019999999997;57640.616999999998;33600.574000000001;8924.5010000000002;11508.734;113299.57;Cluster_01479;101;3;271.2519552;1;34.59165791;11814;M+H;RP
36;275.2003931;999;35.36846444;2982;49;1;5;14.0155141;0.6603;49;Cluster_12563;NaN;398.7675;414.4231;400.35284;NaN;NaN;NaN;NaN;NaN;1095.8562999999999;796.51530000000002;978.96;2989.7440000000001;1654.9005;Cluster_12563;2485;2;274.1931171;1;35.36846444;11954;M+H;RP
37;276.2312808;999;30.3145204;238;180;2;113;24.0000869;0.2721;180;Cluster_08223;NaN;937.13495;564.261;903.1935;408.27246000000002;931.11329999999998;710.88300000000004;920.30584999999996;683.58887000000004;1088.5168000000001;1031.5128;1291.3883000000001;2709.7123999999999;2359.3971999999999;Cluster_08223;2496;2;275.2240048;1;30.3145204;12015;M+H;RP
38;276.2313614;999;30.62004981;56;179/217;2/1;65/229;24.0000748/26.0161226;0.6215/0.9253;179/217;Cluster_01507;NaN;698.5338;466.56293;665.7988;58.590797000000002;NaN;31.537727;87.762825000000007;NaN;1284.1566;1217.3344;2199.5419999999999;4288.0502999999999;1692.704;Cluster_01507;2497;2;275.2240854;1;30.62004981;12016;M+H;RP
39;277.2156558;999;36.02228997;9;74;1;2716;14.0159083;0.6418;74;Cluster_01514;NaN;4607.1807;4908.4736;4600.665;1319.3047999999999;1925.8344999999999;2462.5962;1699.5648000000001;1422.1809000000001;7046.6170000000002;8251.4060000000009;6008.2780000000002;7787.1693999999998;7757.6313;Cluster_01514;105;2;276.2083798;1;36.02228997;12074;M+H;RP
40;278.2093937;999;32.40521948;941;44;1;284;14.0154818;0.9858;44;Cluster_01515;NaN;3433.6575;3049.3074;3440.426;1511.7389000000001;1990.0126;2425.3398000000002;1978.0968;2380.17;2962.1792;2062.2388000000001;2462.1251999999999;1716.886;5962.3852999999999;Cluster_01515;87;2;255.2201727;1;32.40521948;12103;M+Na;RP
41;278.2471917;999;31.56413648;308;213;2;326;26.0161832;0.9458;213;Cluster_01517;NaN;2142.9407;2033.0452;2139.8967;1650.1732999999999;1672.2535;1852.1002000000001;1962.0978;2466.2507000000001;NaN;756.9511;1482.5834;633.8143;492.08422999999999;Cluster_01517;2506;2;277.2399157;1;31.56413648;12106;M+H;RP
42;278.2472731;999;30.86524162;22;218;2;29;26.0162733;0.8636;218;Cluster_01516;NaN;3498.7632;3477.593;3499.0535;2275.23;3029.7440999999999;3516.1907000000001;2617.6963000000001;3146.9459999999999;672.53560000000004;777.82476999999994;841.80550000000005;510.69405999999998;1210.2927;Cluster_01516;2507;2;277.2399971;1;30.86524162;12105;M+H;RP
43;279.2307647;999;36.81645153;801;94;1;2717;14.0164483;0.6642;94;Cluster_01531;NaN;318.03903;344.06424;319.32675;1771.4137000000001;1734.6393;2040.7094;1597.5491999999999;1418.2261000000001;1713.6022;776.09829999999999;1630.8517999999999;1482.5713000000001;1380.7715000000001;Cluster_01531;107;3;278.2234887;1;36.81645153;12160;M+H;RP
44;279.2316548;999;36.90700183;37;91;1;2717;14.0159752;0.6189;91;Cluster_01532;NaN;899.5886;1253.612;903.53424;161.62093999999999;98.393005000000002;249.79886999999999;174.28605999999999;170.4896;1641.6171999999999;1173.8376000000001;705.76733000000002;2792.6019999999999;3194.3823000000002;Cluster_01532;2522;3;278.2243788;1;36.90700183;12161;M+H;RP
45;280.2262454;999;32.96293341;2878;8/101;2/2;284/30;11.9991679/14.0169361;0.4523/0.373;8/101;Cluster_08226;NaN;235.72336;280.29626;237.01918;NaN;NaN;NaN;NaN;NaN;978.4588;134.86681999999999;NaN;290.40710000000001;1256.5289;Cluster_08226;2526;2;279.2189694;1;32.96293341;12208;M+H;RP
46;280.2639335;999;32.46633516;1799;176;1;326;23.9998345;0.0021;176;Cluster_01539;50.675517999999997;4198.64;3976.6787;4199.421;2329.0212000000001;2061.9429;2627.6372000000001;3277.0032000000001;4591.2939999999999;471.85782;8044.1436000000003;17107.798999999999;12126.699000000001;1749.1414;Cluster_01539;2527;2;279.2566575;1;32.46633516;12214;M+H;RP
47;280.2640625;999;31.73284837;223;92/177;3/1;29;14.0163243/23.9998904;0.8491/0.0277;92/177;Cluster_01538;NaN;2783.8525;2858.2217;2788.5156;2319.5075999999999;3644.5695999999998;4621.8573999999999;3717.2143999999998;4822.3289999999997;6852.9575000000004;5601.2280000000001;7772.6419999999998;5266.3446999999996;13282.284;Cluster_01538;2528;2;279.2567865;1;31.73284837;12213;M+H;RP
48;281.2471219;999;37.70985211;1640;110/303;3/3;38;18.0105087/26.0159744;3e-04/0.396;110/303;Cluster_01546;NaN;8315.987;10373.515;8208.481;3400.4380000000001;4229.7709999999997;6361.6880000000001;4999.4975999999997;7205.5820000000003;4220.6522999999997;6563.6980000000003;4543.5590000000002;5287.32;9757.4770000000008;Cluster_01546;108;2;280.2398459;1;37.70985211;12277;M+H;RP
49;282.2424012;999;33.2325715;819;214/316/317;2/2/2;2724/2150/2150;26.0163085/14.0160072/14.0160072;0.8681/0.9013/0.8385;214/316/317;Cluster_01553;NaN;1320.3016;1502.6841;1321.7064;760.49883999999997;1152.4901;1266.1220000000001;1118.4927;1382.5642;4000.0632000000001;1651.9707000000001;1525.1780000000001;623.9787;6332.7780000000002;Cluster_01553;109;2;281.2351252;1;33.2325715;12329;M+H;RP
50;283.2636721;999;38.67138218;66;96/111/288;2/3/3;2987/2720;14.0160264/18.0111058/14.0162066;0.5482/7e-04/0.7298;96/111/288;Cluster_01569;3307.3571999999999;16763.773;23290.336;16127.698;5847.3573999999999;5678.9560000000001;10344.558999999999;7157.0595999999996;15611.195;21338.809000000001;32827.133000000002;23282.096000000001;33184.800000000003;45327.37;Cluster_01569;113;3;282.2563961;1;38.67138218;12411;M+H;RP
51;284.2590176;999;34.37702445;396;98;3;0;14.0163576;0.9852;98;Cluster_01573;1596.7860000000001;122307.13;158446.03;121667.28;22316.030999999999;90478.33;56151.527000000002;46739.02;48315.152000000002;155024.84;124470.25;66169.289999999994;58498.983999999997;292028.90000000002;Cluster_01573;114;3;283.2517416;1;34.37702445;12484;M+H;RP
52;284.2948372;999;38.80083042;2366;201;1;1689;26.015379;0.2367;201;Cluster_01577;4827.5424999999996;4431.722;4588.528;4429.6685;3312.2370000000001;4221.3364000000001;3479.0590000000002;4019.1023;4474.0303000000004;3631.4895000000001;3941.0124999999998;4007.5702999999999;4241.9179999999997;3822.4387000000002;Cluster_01577;2567;2;283.2875612;1;38.80083042;12500;M+H;RP
53;285.2792249;999;39.72160393;230;87/114;3/3;0;14.0160729/20.0265982;0.6298/1.0062;87/114;Cluster_01589;NaN;2966.7747;3958.4033;2988.4868;1537.3518999999999;1712.0748000000001;2077.3222999999998;1727.085;2561.7559999999999;2725.319;3903.8523;2375.9367999999999;2787.0043999999998;5068.6239999999998;Cluster_01589;2584;2;284.2719489;1;39.72160393;12573;M+H;RP
54;286.2746249;999;35.29642186;232;64/80;3/3;0;14.0156147/14.0157881;0.8373/0.94;64/80;Cluster_01595;NaN;4080.9575;7707.868;3634.126;NaN;2074.7651000000001;1277.3928000000001;739.30426;817.54114000000004;6511.1972999999998;6032.2533999999996;1229.6945000000001;12860.513999999999;11834.753000000001;Cluster_01595;115;3;285.2673489;1;35.29642186;12636;M+H;RP
55;289.2159072;999;35.98993156;5;49;2;41;14.0155141;0.6603;49;Cluster_01623;2647.4229;1846.0684;1823.5634;1846.2893;475.97199999999998;545.03049999999996;297.37783999999999;386.83078;437.14713;2486.8339999999998;2430.1116000000002;3223.2917000000002;2988.4953999999998;5032.7299999999996;Cluster_01623;117;2;288.2086312;1;35.98993156;12782;M+H;RP
56;291.2315991;999;36.63070396;2716;74;2;11;14.0159083;0.6418;74;Cluster_01629;NaN;1072.9089;1132.0933;1069.707;NaN;NaN;NaN;NaN;NaN;1728.3042;1817.6636000000001;1471.6512;948.14769999999999;1867.6013;Cluster_01629;2633;2;290.2243231;1;36.63070396;12925;M+H;RP
57;291.2524551;999;34.21842728;2212;84;1;637;14.0160618;0.9853;84;Cluster_12585;968.29470000000003;169.63124;156.72849;170.87546;185.34288000000001;227.41822999999999;248.24584999999999;312.48752000000002;283.57202000000001;226.30078;160.23799;398.84604000000002;180.42891;270.17284999999998;Cluster_12585;2634;2;290.2451791;1;34.21842728;12931;M+H;RP
58;292.2248928;999;33.3770176;284;8/44/178/296;3/2/1/2;1058/92/2561;11.9991679/14.0154818/24.0000899/26.0154869;0.4523/0.9858/0.2044/0.819;8/44/178/296;Cluster_01638;NaN;20706.953;21484.236;20684.434;11464.522000000001;21337.873;18096.719000000001;15216.353999999999;17132.189999999999;50446.207000000002;35477.875;28753.473000000002;17945.018;65299.93;Cluster_01638;99;3;269.2356718;1;33.3770176;12971;M+Na;RP
59;293.2472446;999;37.49803112;2717;91/94;2/2;38/38;14.0159752/14.0164483;0.6189/0.6642;91/94;Cluster_01648;NaN;804.07227;1233.3553;777.27826;NaN;NaN;NaN;NaN;NaN;1253.7208000000001;1414.5202999999999;1225.8925999999999;1071.221;1856.0388;Cluster_01648;2649;2;292.2399686;1;37.49803112;13030;M+H;RP
60;294.240313;999;34.59307297;259;198;1;93;26.0153631;0.5695;198;Cluster_01654;NaN;3097.974;4894.492;2947.1575;NaN;1859.1957;848.18335000000002;807.50419999999997;641.46469999999999;9065.2579999999998;5269.585;1509.7528;2043.6356000000001;14124.39;Cluster_01654;101;2;271.251092;1;34.59307297;13069;M+Na;RP
61;294.2433216;999;33.26258601;30;56/101/211/215;1/3/1/3;2724/125;14.0156779/14.0169361/26.0156334/26.0161034;0.8567/0.373/0.8037/1.05;56/101/211/215;Cluster_01653;NaN;2061.472;2243.8772;2058.84;715.41970000000003;966.80584999999996;1145.6030000000001;755.38300000000004;825.72069999999997;14998;7002.7437;7841.759;9522.1869999999999;28752.923999999999;Cluster_01653;121;2;293.2360456;1;33.26258601;13068;M+H;RP
62;294.243433;999;33.66771101;84;181;2;59;24.0000957;0.2052;181;Cluster_01655;NaN;3736.1787;4017.4812;3741.3345;853.28290000000004;2003.8931;1781.4921999999999;1763.0147999999999;1578.0128;22674.203000000001;8295.33;7399.4404000000004;8932.0625;40074.42;Cluster_01655;122;3;293.236157;1;33.66771101;13074;M+H;RP
63;296.2589142;999;34.14934685;2150;302/316/317;3/3/3;48/2726/2726;26.0161217/14.0160072/14.0160072;0.8159/0.9013/0.8385;302/316/317;Cluster_01671;NaN;7375.0996;10943.113;7184.8247;2181.3242;7293.8364000000001;5108.8696;3822.4931999999999;4706.2060000000001;7070.3657000000003;3605.625;2336.8971999999999;914.54584;13628.838;Cluster_01671;123;2;295.2516382;1;34.14934685;13188;M+H;RP
64;297.2792184;999;39.28214505;2987;96;3;0;14.0160264;0.5482;96;Cluster_12590;NaN;337.1658;579.29156;305.80106;NaN;NaN;NaN;NaN;NaN;596.87085000000002;842.39056000000005;654.56079999999997;525.15593999999999;1378.5590999999999;Cluster_12590;2682;2;296.2719424;1;39.28214505;13254;M+H;RP
65;297.2793339;999;39.46141014;2720;288;4;0;14.0162066;0.7298;288;Cluster_01685;NaN;2564.374;3302.5505;2467.366;NaN;NaN;204.44055;NaN;NaN;1021.0044;2328.6037999999999;784.51653999999996;3261.1624000000002;3184.1323000000002;Cluster_01685;2683;2;296.2720579;1;39.46141014;13255;M+H;RP
66;298.2375159;999;32.96155735;166;90;1;187;14.0159146;0.8933;90;Cluster_01694;NaN;511.30005;465.6479;511.90945;NaN;415.3852;290.90410000000003;241.34813;210.81163000000001;1268.7056;623.49805000000003;504.94240000000002;754.54489999999998;2171.2404999999999;Cluster_01694;2699;2;297.2302399;1;32.96155735;13323;M+H;RP
67;298.2745851;999;35.13756965;98;200/204;2/2;587/587;26.0153525/26.0153989;0.5699/0.6687;200/204;Cluster_01695;NaN;46611.8;66549.89;44861.926;1916.8195000000001;18984.560000000001;10414.096;5955.5312000000004;7421.5747000000001;153291.39000000001;122183.44;44871.296999999999;28559.03;253635.89;Cluster_01695;125;4;297.2673091;1;35.13756965;13330;M+H;RP
68;300.2315989;999;31.27757333;65;179;3;0;24.0000748;0.6215;179;Cluster_01710;NaN;1209.063;1146.1406;1206.0095;430.76315;505.73131999999998;618.84717000000001;594.37180000000001;568.95294000000001;1067.8606;1918.0382;2345.9766;2534.0412999999999;1429.7999;Cluster_01710;2715;2;299.2243229;1;31.27757333;13483;M+H;RP
69;300.231623;999;30.57888315;113;180;3;0;24.0000869;0.2721;180;Cluster_01709;NaN;1162.7489;1031.6963;1161.3975;599.75432999999998;909.43176000000005;837.22789999999998;723.04560000000004;601.2568;1236.4291000000001;1121.1049;1538.2795000000001;1040.5215000000001;1828.1682000000001;Cluster_01709;2716;2;299.224347;1;30.57888315;13481;M+H;RP
70;302.2480324;999;31.58959304;229;217;2;163;26.0161226;0.9253;217;Cluster_01730;NaN;959.36945;942.1945;959.9909;203.83654999999999;273.60574000000003;385.34449999999998;350.11813000000001;499.10723999999999;404.98016000000001;1096.8533;1730.3516999999999;2529.268;872.26385000000005;Cluster_01730;2735;2;301.2407564;1;31.58959304;13623;M+H;RP
71;303.231435;999;36.6891631;41;49;3;0;14.0155141;0.6603;49;Cluster_01741;1043.9218000000001;68961.66;74629.21;68773.555;26624.46;21161.585999999999;46500.535000000003;36361.074000000001;40856.050000000003;74764.63;111202.61;86940.24;104411.5;139186.6;Cluster_01741;134;3;302.224159;1;36.6891631;13691;M+H;RP
