"","mz","intensity","RT","peak ID","HS IDs","series level","to ID","m/z increment","RT increment","HS cluster"
"1",77.059705496,999,6.64354545454546,1,"0","0","0","none","none","0"
"2",99.041649496,999,6.64354545454546,2,"0","0","0","none","none","0"
"3",77.059705496,999,6.64354545454546,3,"0","0","0","none","none","0"
"4",99.041649496,999,6.64354545454546,4,"0","0","0","none","none","0"
"5",138.078763908,999,7.7065,5,"0","0","0","none","none","0"
"6",160.060707908,999,7.7065,6,"0","0","0","none","none","0"
"7",138.078763908,999,7.7065,7,"0","0","0","none","none","0"
"8",160.060707908,999,7.7065,8,"0","0","0","none","none","0"
"9",138.078763908,999,7.7065,9,"0","0","0","none","none","0"
"10",160.060707908,999,7.7065,10,"0","0","0","none","none","0"
"11",130.049869084,999,6.20079555555556,11,"0","0","0","none","none","0"
"12",152.031813084,999,6.20079555555556,12,"0","0","0","none","none","0"
"13",130.049869084,999,6.20079555555556,13,"0","0","0","none","none","0"
"14",152.031813084,999,6.20079555555556,14,"0","0","0","none","none","0"
"15",114.054954464,999,7.509875,15,"0","0","0","none","none","0"
"16",136.036898464,999,7.509875,16,"0","0","0","none","none","0"
"17",114.054954464,999,7.509875,17,"0","0","0","none","none","0"
"18",136.036898464,999,7.509875,18,"0","0","0","none","none","0"
"19",196.060433768,999,7.99890666666667,19,"0","0","0","none","none","0"
"20",218.042377768,999,7.99890666666667,20,"0","0","0","none","none","0"
"21",135.0651848,999,4.3691,21,"0","0","0","none","none","0"
"22",157.0471288,999,4.3691,22,"0","0","0","none","none","0"
"23",135.0651848,999,4.3691,23,"0","0","0","none","none","0"
"24",157.0471288,999,4.3691,24,"0","0","0","none","none","0"
"25",215.031515322,999,2.47369545454545,25,"0","0","0","none","none","0"
"26",237.013459322,999,2.47369545454545,26,"0","0","0","none","none","0"
"27",215.031515322,999,2.47369545454545,27,"0","0","0","none","none","0"
"28",237.013459322,999,2.47369545454545,28,"0","0","0","none","none","0"
"29",215.031515322,999,1.72602666666667,29,"0","0","0","none","none","0"
"30",237.013459322,999,1.72602666666667,30,"0","0","0","none","none","0"
"31",215.031515322,999,1.72602666666667,31,"0","0","0","none","none","0"
"32",237.013459322,999,1.72602666666667,32,"0","0","0","none","none","0"
"33",105.054620116,999,7.509875,33,"0","0","0","none","none","0"
"34",127.036564116,999,7.509875,34,"0","0","0","none","none","0"
"35",105.054620116,999,7.509875,35,"0","0","0","none","none","0"
"36",127.036564116,999,7.509875,36,"0","0","0","none","none","0"
"37",149.044449356,999,5.97972,37,"0","0","0","none","none","0"
"38",171.026393356,999,5.97972,38,"0","0","0","none","none","0"
"39",149.044449356,999,5.97972,39,"0","0","0","none","none","0"
"40",171.026393356,999,5.97972,40,"0","0","0","none","none","0"
"41",149.044449356,999,5.97972,41,"0","0","0","none","none","0"
"42",171.026393356,999,5.97972,42,"0","0","0","none","none","0"
"43",153.054620116,999,8.39656,43,"0","0","0","none","none","0"
"44",175.036564116,999,8.39656,44,"0","0","0","none","none","0"
"45",153.054620116,999,8.39656,45,"0","0","0","none","none","0"
"46",175.036564116,999,8.39656,46,"0","0","0","none","none","0"
"47",149.026691116,999,8.57072727272727,47,"0","0","0","none","none","0"
"48",171.008635116,999,8.57072727272727,48,"0","0","0","none","none","0"
"49",149.026691116,999,8.57072727272727,49,"0","0","0","none","none","0"
"50",171.008635116,999,8.57072727272727,50,"0","0","0","none","none","0"
"51",103.038970052,999,8.39811333333333,51,"0","0","0","none","none","0"
"52",125.020914052,999,8.39811333333333,52,"0","0","0","none","none","0"
"53",103.038970052,999,7.607375,53,"0","0","0","none","none","0"
"54",125.020914052,999,7.607375,54,"0","0","0","none","none","0"
"55",103.038970052,999,7.607375,55,"0","0","0","none","none","0"
"56",125.020914052,999,7.607375,56,"0","0","0","none","none","0"
"57",161.044449356,999,6.72990909090909,57,"0","0","0","none","none","0"
"58",183.026393356,999,6.72990909090909,58,"0","0","0","none","none","0"
