"","hsid","mzsplit","mz","intensity","RT.x","peak ID","HS IDs","series level","to ID","m/z increment","RT increment","HS cluster","delta_mz","!ID","!Notes:Name_neutral","!Notes:Formula_Neutral","!Notes:InChI_neutral","!Notes:InChIKey_neutral","!Notes:SMILES_neutral","exactmass","logp","adduct","RT.y"
"560","79",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_ascr_16_c","ascr#16","C16H30O6","InChI=1S/C16H30O6/c1-11(8-6-4-3-5-7-9-15(19)20)21-16-14(18)10-13(17)12(2)22-16/h11-14,16-18H,3-10H2,1-2H3,(H,19,20)/t11-,12+,13-,14-,16-/m1/s1","UMKVAMCFIAMCAV-JTTNIQEDSA-N","C[C@H](CCCCCCCC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O",318.20423868,2.049,"[M+H]+",11.0980511111111
"561","80",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_oscr_16_e","oscr#16","C16H30O6","InChI=1S/C16H30O6/c1-12-13(17)11-14(18)16(22-12)21-10-8-6-4-2-3-5-7-9-15(19)20/h12-14,16-18H,2-11H2,1H3,(H,19,20)/t12-,13+,14+,16+/m0/s1","KRXDKQWKJIZPMU-DSJMHWKBSA-N","C[C@@H]1O[C@@H](OCCCCCCCCCC(O)=O)[C@H](O)C[C@H]1O",318.20423868,2.158,"[M+H]+",11.2693022222222
"562","80",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_ascr_16_e","ascr#16","C16H30O6","InChI=1S/C16H30O6/c1-11(8-6-4-3-5-7-9-15(19)20)21-16-14(18)10-13(17)12(2)22-16/h11-14,16-18H,3-10H2,1-2H3,(H,19,20)/t11-,12+,13-,14-,16-/m1/s1","UMKVAMCFIAMCAV-JTTNIQEDSA-N","C[C@H](CCCCCCCC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O",318.20423868,2.049,"[M+H]+",11.0980511111111
"563","80",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_oscr_16_c","oscr#16","C16H30O6","InChI=1S/C16H30O6/c1-12-13(17)11-14(18)16(22-12)21-10-8-6-4-2-3-5-7-9-15(19)20/h12-14,16-18H,2-11H2,1H3,(H,19,20)/t12-,13+,14+,16+/m0/s1","KRXDKQWKJIZPMU-DSJMHWKBSA-N","C[C@@H]1O[C@@H](OCCCCCCCCCC(O)=O)[C@H](O)C[C@H]1O",318.20423868,2.158,"[M+H]+",11.2693022222222
"564","80",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_ascr_16_c","ascr#16","C16H30O6","InChI=1S/C16H30O6/c1-11(8-6-4-3-5-7-9-15(19)20)21-16-14(18)10-13(17)12(2)22-16/h11-14,16-18H,3-10H2,1-2H3,(H,19,20)/t11-,12+,13-,14-,16-/m1/s1","UMKVAMCFIAMCAV-JTTNIQEDSA-N","C[C@H](CCCCCCCC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O",318.20423868,2.049,"[M+H]+",11.0980511111111
"565","78",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_oscr_16_e","oscr#16","C16H30O6","InChI=1S/C16H30O6/c1-12-13(17)11-14(18)16(22-12)21-10-8-6-4-2-3-5-7-9-15(19)20/h12-14,16-18H,2-11H2,1H3,(H,19,20)/t12-,13+,14+,16+/m0/s1","KRXDKQWKJIZPMU-DSJMHWKBSA-N","C[C@@H]1O[C@@H](OCCCCCCCCCC(O)=O)[C@H](O)C[C@H]1O",318.20423868,2.158,"[M+H]+",11.2693022222222
"566","78",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_ascr_16_e","ascr#16","C16H30O6","InChI=1S/C16H30O6/c1-11(8-6-4-3-5-7-9-15(19)20)21-16-14(18)10-13(17)12(2)22-16/h11-14,16-18H,3-10H2,1-2H3,(H,19,20)/t11-,12+,13-,14-,16-/m1/s1","UMKVAMCFIAMCAV-JTTNIQEDSA-N","C[C@H](CCCCCCCC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O",318.20423868,2.049,"[M+H]+",11.0980511111111
"567","78",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_oscr_16_c","oscr#16","C16H30O6","InChI=1S/C16H30O6/c1-12-13(17)11-14(18)16(22-12)21-10-8-6-4-2-3-5-7-9-15(19)20/h12-14,16-18H,2-11H2,1H3,(H,19,20)/t12-,13+,14+,16+/m0/s1","KRXDKQWKJIZPMU-DSJMHWKBSA-N","C[C@@H]1O[C@@H](OCCCCCCCCCC(O)=O)[C@H](O)C[C@H]1O",318.20423868,2.158,"[M+H]+",11.2693022222222
"568","78",14.0156501,319.21151468,999,11.0980511111111,481,"53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80","4/4/4/4/4/4/4/4/4/4/4/4/4/4/4/4","487/487/489/489/487/487/489/489/487/487/489/489/487/487/489/489","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","53/54/55/56/61/62/63/64/69/70/71/72/77/78/79/80",">14 x <15","M_ascr_16_c","ascr#16","C16H30O6","InChI=1S/C16H30O6/c1-11(8-6-4-3-5-7-9-15(19)20)21-16-14(18)10-13(17)12(2)22-16/h11-14,16-18H,3-10H2,1-2H3,(H,19,20)/t11-,12+,13-,14-,16-/m1/s1","UMKVAMCFIAMCAV-JTTNIQEDSA-N","C[C@H](CCCCCCCC(O)=O)O[C@@H]1O[C@@H](C)[C@H](O)C[C@H]1O",318.20423868,2.049,"[M+H]+",11.0980511111111
"569","21",14.0156501,327.177808616,999,10.1979090909091,456,"21/22/23/24/25/26/27/28/37/38/39/40/41/42/43/44","3/3/3/3/3/3/3/3/3/3/3/3/3/3/3/3","482/482/482/482/480/480/480/480/482/482/482/482/480/480/480/480","14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501/14.0156501","0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985/0.8985","21/22/23/24/25/26/27/28/37/38/39/40/41/42/43/44",">14 x <15","M_oscr_10_e","oscr#10","C15H28O6","InChI=1S/C15H28O6/c1-11-12(16)10-13(17)15(21-11)20-9-7-5-3-2-4-6-8-14(18)19/h11-13,15-17H,2-10H2,1H3,(H,18,19)/t11-,12+,13+,15+/m0/s1","WGGIJTBDSYSSPD-KYEXWDHISA-N","C[C@@H]1O[C@@H](OCCCCCCCCC(O)=O)[C@H](O)C[C@H]1O",304.188588616,1.589,"[M+Na]+",10.3715659090909
